vae,vas,pve,pvs,gee,ges,rqe,rqs,rle,rls,cce
1.6006519,0.4574085,0.728512,0.57573354,1.9041631,0.30231553,1.0095239,0.44084185,1.46096,0.3946289,1.3347588
0.12936144,0.25608963,1.0842658,0.4352209,0.6521459,0.30231553,0.30050936,0.44084185,0.62056345,0.32727668,0.57070816
-0.900742,0.11948699,-1.5869597,0.22680736,-1.2741847,0.21946669,-1.6214408,0.2255636,-0.9809673,0.15713692,-1.315019
0.8035325,0.13503653,0.35403183,0.24576741,0.33794552,0.18923141,0.7015986,0.18052627,0.38276163,0.1456885,0.25655055
-0.7170047,0.11606314,-0.76231754,0.24576741,0.19385052,0.18676089,0.32583556,0.18980598,0.3037058,0.15381971,0.27934352
0.5456222,0.15611753,-0.18857434,0.2626911,0.24368227,0.2367653,0.65722865,0.24189615,-0.15149245,0.18403281,-0.04883967
0.15392166,0.12756866,-0.41682404,0.1922474,-0.06490989,0.20808466,-0.0083587505,0.19822408,-0.31061783,0.15776294,-0.59759915
0.6650511,0.24916837,1.1219049,0.23805772,0.584228,0.3539063,-0.20731266,0.28564546,0.7976057,0.24153796,0.3589535
0.7053232,0.12997046,0.8826381,0.2511619,0.88452643,0.23389368,1.1906321,0.24997829,0.9255343,0.16760604,0.46565
0.57005775,0.24004562,0.84085685,0.25412327,-0.009982543,0.4574296,0.41224185,0.35939363,0.4096265,0.31870958,0.27234763
-1.9132541,0.13033031,-0.27310863,0.20889461,-0.6243625,0.23518609,-1.7298256,0.18053399,-1.1341989,0.13929713,-1.1944443
-1.355983,0.12590715,-0.053483382,0.21905676,-0.31542498,0.24453364,-0.84162,0.21020134,-0.86476016,0.15818055,-0.21511038
0.904806,0.16609375,0.6376413,0.28284657,0.9192848,0.1864186,1.0083252,0.18147802,0.9475476,0.17554979,0.8141448
1.448773,0.13332866,1.3405669,0.21966553,1.5598772,0.21056087,1.5171647,0.22564568,1.8571237,0.15071708,1.4272544
-1.1124189,0.13739361,0.7595454,0.19816442,1.505398,0.2195927,1.1066388,0.19723935,0.6369796,0.15810975,1.0686659
0.5560399,0.164704,-0.017322771,0.2845954,-0.28103444,0.2795088,-0.5938557,0.26512402,-0.24670272,0.22730398,-0.012143857
0.9061646,0.26844153,0.77456886,0.23805772,-0.059461154,0.37182036,0.1783177,0.34296444,-0.13772796,0.3280172,0.31303138
-1.0721555,0.18862043,1.2844874,0.33286983,0.35705096,0.2393738,-0.28616855,0.18633196,0.33280677,0.23396118,0.87191695
-0.6800316,0.122585185,-0.08879775,0.21112111,-0.6937903,0.21319678,-0.51832074,0.18903327,-0.6448248,0.16669928,-0.87742597
-1.73934,0.12899315,-2.1390774,0.27938786,-1.1633304,0.19951181,-1.2046523,0.16942681,-1.3760577,0.17402424,-1.1912827
1.687097,0.1753199,1.5949469,0.2701239,2.123962,0.19196367,1.6615872,0.17273308,1.9509416,0.16972405,2.314719
0.34912527,0.16378316,-0.35983813,0.28284657,-0.032745756,0.18406391,-0.69147563,0.18147802,-0.7771158,0.17253669,-0.4799768
-0.6708586,0.119790986,-0.37398747,0.21594997,-0.2791894,0.19590847,-0.14382347,0.19865248,-0.26047158,0.16185479,-0.17447346
1.3535734,0.14874098,1.057366,0.24153912,1.331988,0.21885781,1.6959268,0.2235853,1.7430993,0.15627189,1.7503003
-0.35524333,0.11333724,-1.5616969,0.25199842,-0.38447165,0.23234941,-0.10163022,0.19502768,-0.61499673,0.16180347,-0.8716797
1.3074969,0.18749085,1.3589554,0.2860417,1.8802282,0.1895976,1.5380563,0.22681955,1.8579127,0.18152973,1.9151592
-1.4539974,0.14392827,-0.6178417,0.24132012,0.42190483,0.2571215,0.6263981,0.24261394,0.48486212,0.17392954,-0.06973144
-1.8426939,0.13599788,-0.626399,0.20681481,0.19812672,0.23344883,0.021444058,0.22313868,0.115081936,0.17518345,0.047485378
-1.4201199,0.12953995,-1.3355397,0.25367594,-1.4240239,0.20682204,-1.154979,0.17864954,-1.3250926,0.15674669,-1.477722
1.0127213,0.20476349,1.0189325,0.24802686,0.099542975,0.3225586,0.27730292,0.24582522,0.57453555,0.25865155,0.6724034
-1.697053,0.15537286,-2.3877642,0.29303238,-1.4292067,0.18024944,-1.6684238,0.18127103,-1.7184352,0.19481193,-1.4446939
1.3536972,0.14022812,1.047958,0.2049565,1.5619822,0.21868967,1.8939652,0.22718398,1.7459571,0.17360005,1.8109144
-1.3308038,0.13121167,-1.5688827,0.20729105,-1.5096811,0.18374287,-1.162167,0.18387605,-1.1504228,0.14891689,-1.3290052
1.2597668,0.14110787,0.5630008,0.2392498,1.4640105,0.21908851,1.2875664,0.22479999,1.4563744,0.15913752,1.4560018
1.0486381,0.13169041,0.86650884,0.23933095,1.0210059,0.21730424,0.7593556,0.17789783,1.0019823,0.13517672,0.91739136
-0.6587384,0.19601236,-0.7261573,0.39288157,-1.0603619,0.25941044,-0.8814915,0.29139608,-1.1076014,0.27153474,-1.0442144
0.21566406,0.14812951,-0.1877606,0.22344396,-0.24690337,0.2563077,-0.53814584,0.20913742,-0.36479825,0.16954824,-0.2263859
-1.1279354,0.13580239,-2.260352,0.21053849,-1.17354,0.23543017,-1.1274359,0.23547192,-1.5468932,0.20633435,-1.4159268
-1.8781989,0.13853584,-2.7488241,0.20558971,-1.3980633,0.23832786,-1.6845528,0.22344758,-1.3577158,0.18235444,-1.5600171
-1.7624147,0.15375528,-2.7463503,0.3168854,-2.074581,0.2258135,-2.493313,0.18428566,-2.350463,0.24657395,-1.7249206
1.036903,0.26553673,1.4176272,0.29657856,1.9361316,0.4574296,1.1918962,0.485649,1.598812,0.48281574,1.2345334
-1.0317389,0.19728291,-0.9460321,0.3425064,-1.2065011,0.2385787,-1.3162338,0.3076686,-0.9837194,0.18256018,-0.90675735
-1.5015956,0.13849795,-0.50511056,0.23850638,0.7171283,0.23350912,0.8490901,0.22411491,0.470811,0.17101714,0.16815981
-1.2998474,0.12736952,-0.93401605,0.21594997,-0.19922018,0.21071109,-1.2006139,0.19865248,-0.6852962,0.166413,-0.8166203
